"","US.merge","US.id","US.screen_name","US.verified","US.url","US.created_at","US.name","US.followers_count","US.location","US.description","US.time_zone","US.listed_count","US.lang","US.friends_count","US.statuses_count","US.dw.nom.1","US.icpsr.id","US.nameid","US.title","US.party","US.state","US.gender","US.idealPoint"
"1","adl_initiative",31455249,"ADL_Initiative",FALSE,"http://www.ADLnet.gov","Wed Apr 15 17:01:11 +0000 2009","ADL Initiative",1281,"Alexandria, VA, USA","Advanced Distributed Learning Initiative","Eastern Time (US & Canada)",119,"en",207,2291,NA,NA,NA,"Others","Nonpartisan",NA,NA,NA
"2","alangrayson",41017380,"AlanGrayson",FALSE,"http://graysonforcongress.com","Tue May 19 01:00:40 +0000 2009","Alan Grayson",32086,"Orlando, FL","","Eastern Time (US & Canada)",1988,"en",6,481,-0.384,20908,"G000556","House","D",NA,NA,NA
"3","alannunnelee",35663608,"AlanNunnelee",FALSE,"http://senatornunnelee.com","Mon Apr 27 03:55:12 +0000 2009","Alan Nunnelee",210,"Tupelo, MS","Senator, State of Mississippi","Central Time (US & Canada)",16,"en",1,1,0.464,21147,"N000186","House","R","MS","M",0.828793361866379
"4","alfranken",7334402,"alfranken",TRUE,"http://www.alfranken.com/","Sun Jul 08 21:48:38 +0000 2007","Al Franken",100863,"Minnesota","Official TeamFranken Twitter feed","Central Time (US & Canada)",5176,"en",20992,1132,-0.472,40904,NA,"Senate","D",NA,NA,NA
"5","algore",17220934,"algore",TRUE,"http://algore.com/","Thu Nov 06 22:21:18 +0000 2008","Al Gore",2536631,"Nashville, TN","","Pacific Time (US & Canada)",36583,"en",9,695,NA,NA,NA,"Others","D",NA,NA,NA
"6","allenwest",237403203,"AllenWest",TRUE,"http://west.house.gov","Wed Jan 12 19:27:31 +0000 2011","Allen West",98740,"Washington, D.C.","I am a Congressman from the great state of Florida.  I represent parts of Broward County and Palm Beach County in the 22nd District.  ","Eastern Time (US & Canada)",2427,"en",52,701,0.467,21119,"W000807","House","R","FL","M",0.802876942019477
"7","andercrenshaw",20209807,"AnderCrenshaw",TRUE,"http://www.crenshaw.house.gov","Fri Feb 06 01:48:11 +0000 2009","Ander Crenshaw",4774,"Washington, D.C.","Member of Congress, FL-04","Eastern Time (US & Canada)",521,"en",112,386,0.367,20111,"C001045","House","R","FL","M",0.64474445867843
"8","appropsdems",30912937,"AppropsDems",TRUE,"http://democrats.appropriations.house.gov","Mon Apr 13 17:45:46 +0000 2009","Appropriations-Dems ",2564,"Washington, DC ","Welcome to the Official Twitter Feed of the House Appropriations Committee, Democrats. ","Quito",145,"en",596,696,NA,NA,NA,"Others","Nonpartisan",NA,NA,NA
"9","armyciog6",38401099,"ArmyCIOG6",FALSE,"http://ciog6.army.mil/","Thu May 07 09:25:12 +0000 2009","ArmyCIOG6",4239,"Always Ready, Always On","Official  source for U.S. Army's Chief Information Officer/G-6 news.  Following or RT does not = endorsement","Eastern Time (US & Canada)",265,"en",393,2261,NA,NA,NA,"Others","Nonpartisan",NA,NA,NA
"10","arturdavis",19677673,"ArturDavis",TRUE,"http://officialarturdavis.com","Wed Jan 28 21:35:52 +0000 2009","Artur Davis",10657,"Alabama","","Central Time (US & Canada)",518,"en",790,47,-0.275,20302,"D000602","House","D",NA,NA,NA
"11","askgeorge",7356562,"askgeorge",TRUE,"http://house.gov/georgemiller","Mon Jul 09 22:04:23 +0000 2007","Rep.George Miller",7955,"Washington DC/East Bay CA","Representing Contra Costa and Solano in Congress. Top priority = creating new jobs. Also, avid reader and hiker. ","Eastern Time (US & Canada)",817,"en",137,1199,-0.602,14256,"M000725","House","D","CA","M",-1.34617885327628
"12","atweber",18361558,"atweber",FALSE,"http://blogs.loc.gov/law/author/anwe/","Wed Dec 24 17:43:35 +0000 2008","Andrew Weber",769,"Washington, DC","A dad, husband to @CathyHW, & guy who works on @THOMASdotgov & #ICLblog at the @LawLibCongress.","Eastern Time (US & Canada)",75,"en",830,6374,NA,NA,NA,"Others","Nonpartisan",NA,NA,NA
"13","auctnr1",21572351,"auctnr1",FALSE,NA,"Sun Feb 22 15:38:43 +0000 2009","Billy Long",2906,"Springfield, Missouri","U. S. Congressman MO7 - Homeland Security and Transportation & Infrastructure Committees","Central Time (US & Canada)",201,"en",603,6514,NA,NA,NA,"Others","Nonpartisan",NA,NA,NA
"14","austinscottga08",234797704,"AustinScottGA08",TRUE,"http://austinscott.house.gov","Thu Jan 06 16:01:46 +0000 2011","Rep. Austin Scott",3044,"Ashburn, GA","I am proud to represent the 8th Congressional District of Georgia. I am also the President of the 89 Member Republican Freshman Class. ",NA,278,"en",205,581,0.618,21123,"S001189","House","R","GA","M",1.1332230862145
"15","bachusal06",78431501,"BachusAL06",TRUE,"http://www.bachus.house.gov/","Tue Sep 29 22:15:34 +0000 2009","Spencer Bachus",4812,"Washington","U.S. Congressman, AL-06","Eastern Time (US & Canada)",455,"en",1,340,0.403,29301,"B000013","House","R","AL","M",0.708923836959077
"16","barackobama",813286,"BarackObama",TRUE,"http://www.barackobama.com","Mon Mar 05 22:08:25 +0000 2007","Barack Obama",21474985,"Washington, DC","This account is run by #Obama2012 campaign staff. Tweets from the President are signed -bo.","Eastern Time (US & Canada)",178947,"en",671106,7520,NA,40502,"O000167","Senate","D",NA,NA,NA
