barbarapompili,delphinebatho,stanguerini,gilbertcollard,fderugy,oliviagregoire,lachaudb,sylviapinel,bretonxavier,aquatennens,mauriceleroy,brunobonnelloff,faureolivier,yvesjego,francois_ruffin,alexiscorbiere,dupontaignan,b_perrut,auroreberge,duboismarianne,valerie_rabault,robinreda,phgosselin,sebchenu,olivierveran,franckriester,jeanlassalle,solere92,damienabad,dbaichere,ericwoerth,yfavennec,carolinefiat54,eciotti,richardferrand,sophie_auconie,emenard34,ericcoquerel,mathildepanot,juanico,sergeletchimy,g_peltier,marinebrenier,valerieboyer13,fm_lambert,slefoll,mlp_officiel,phdumont,pybournazel,villanicedric,claudegoasguen,guyteissier,clem_autain,ebareigts,glarrive,jlmelenchon,louis_aliot,sylvainmaillard,gillescarrez,constancelegrip,olivierdussopt,pierr_person,ugobernalicis,sebastienhuyghe,dfasquelle,luccarvounas,ademontchalin,jclagarde,c_decourson,guillaumegarot,s_trompille,gabrielattal,pau_langevin,andrechassaigne,sach_he,lauredlr,desarnez,brigitte_kuster,vigierphilippe,laetitiaavia,marclefur,dubymuller,le_figaro,pcf,libe,20minutes,franceinsoumise,mediapart,atlantico_fr,le_parisien,eelv,rue89,partisocialiste,lobs,enmarchefr,lexpress,fn_officiel,lesechos,lesrepublicains,slatefr,lepoint
-1.6334786627684672,-1.7552254851114086,-1.8977981922575198,-1.8684916226884214,-1.6926241280756502,-1.7510619935942493,-1.8012896080004959,-1.7461834427678555,-1.7865869356931574,-1.7068203546857883,-1.6214694869371529,-1.6681546437593493,-1.7338401773000303,-1.5294176408480713,-1.5802481668332233,-1.455419073862644,-1.471955849068505,-1.2306072872640192,-2.0511002821855415,-2.016177033287919,-2.17015663924139,-2.230612168820728,-2.2235981194367422,-2.2045643672465087,-2.188903128269829,-2.0568446963595415,-2.218013585510723,-2.234205442964348,-2.1152444545461986,-2.187051435591278,-2.17737711741124,-2.067435574973759,-1.9463921394228108,-1.9712091542188197,-2.0246367515019363,-2.1941626253520012,-2.4811197910024734,-2.4708121004791717,-2.4941050897024177,-2.354297613932541,-2.279572888892113,-2.389633274057321,-2.3118326083784932,-2.4610262276252173,-2.36122091674237,-2.3196495048296994,-2.258358660843399,-2.357610040062865,-2.4757875523413713,-2.4793932651065593,-2.403047671248558,-2.3112674585108977,-2.443550227820109,-2.4378104693628995,-2.4629586699725263,-2.4180722887124073,-2.447817843255019,-2.5273394940200244,-2.7165194758345668,-2.2870847031328108,-1.9466401832728606,-2.6375798245703916,-2.825419720416614,-2.7961703964793085,-2.807887728656653,-2.453309416130932,-2.2889603119562674,-2.7587196110943775,-2.6656620301357172,-2.518777966609609,-2.3820969572462665,-2.5071024769541586,-2.384725614438121,-2.561510221634978,-2.885033895244655,-2.9439746775652376,-2.945143884450742,-2.90704017909623,-2.7619793739711427,-2.6765099376134143,-2.785991381259691,-2.6205657699841605,-2.8139820943393223,-2.675884077613291,-2.621559827951497,-2.683612277388832,-2.733666989408846,-2.8906919983441477,-2.8933263789284265,-2.8603981954273094,-2.927630542523083,-2.8956721424316694,-3.027459231085364,-3.015867006025393,-3.063806385543601,-3.0612470831547,-3.0807285240312745,-3.103036268060546,-3.100750497074311,-3.1273865787102015,-3.1843230810333782
-1.7085182848614897,-1.8781148959651899,-1.9947193047980774,-1.9839658732759136,-1.8148818947233472,-1.8923934337057569,-1.9599973135878512,-1.806048371508113,-1.8804715542673796,-1.8173853027119553,-1.7201471144278417,-1.7803055103685104,-1.8373485474049194,-1.6157026008526743,-1.674696614744709,-1.549613441197242,-1.5635136863584114,-1.350948457038582,-2.205239427788061,-2.1061737741345326,-2.3054001456258297,-2.344595598457321,-2.2706393045898845,-2.3385508337398533,-2.3333316892633067,-2.234150105555298,-2.282064551288194,-2.3347320517098904,-2.255762261988323,-2.3755724544295846,-2.28978745546669,-2.166094320489985,-2.0584585668165523,-2.101690725458453,-2.1777902836671217,-2.265424136677082,-2.6254671712368145,-2.5574427565691504,-2.6449020060874515,-2.548543848145327,-2.4168967695122596,-2.5667172979681196,-2.4843891025318805,-2.5636335434102864,-2.492250855684949,-2.451167429913973,-2.3722265127122664,-2.4987098915275032,-2.6286859247888326,-2.595679493212513,-2.46087391230822,-2.494713484578584,-2.610966101786391,-2.561455266206111,-2.6400047411517455,-2.553700171138872,-2.5940106578103403,-2.6773531564643474,-2.796642311455435,-2.4551017622606546,-2.037352178619088,-2.828929708703387,-2.9561751698417593,-2.98085800254898,-2.9345043621447755,-2.5965767205090686,-2.3932066326902848,-2.8677762571618297,-2.752938440736974,-2.6774791072173723,-2.5909078512093946,-2.6327995507901196,-2.542439455900211,-2.7543097083012467,-3.051576987830563,-3.0024028898373913,-3.0918695922357005,-3.0657166371220708,-2.964707543414228,-2.861511002698918,-2.920141857154415,-2.767894965860834,-2.9229374003214077,-2.80080786470532,-2.7692936154487113,-2.7725637187763383,-2.868595487776345,-2.9835458415508302,-3.0422700427707663,-2.9791228870163353,-3.081940031198851,-3.0968805136842237,-3.143834800894772,-3.1436665661086654,-3.1443257677944474,-3.2088342591282397,-3.1941079829455656,-3.2012793512278215,-3.275594391780556,-3.2671469683040604,-3.327210933326737
-1.7840539670563835,-1.9488647884164298,-2.0526425298454365,-2.025424839470834,-1.841305137781027,-1.8916966821471795,-2.0142960281024735,-1.8772727538421379,-1.67323405131742,-1.9032668336008451,-1.8363006797533827,-1.8591990102757905,-1.8838701989362652,-1.2966601024758007,-1.7153153289221688,-1.5804417589584931,-1.626078792131674,-1.3637594332249092,-2.2246875007595603,-2.186679076007348,-2.3941569467746087,-2.3924123861996422,-2.3567789955727467,-2.4233434634574613,-2.3699709503964765,-2.3099577614027282,-2.3990742398035945,-2.3856933229027764,-2.2859382179506373,-2.3879060181185943,-2.3711237479292246,-2.2080535598634765,-2.125317153124131,-2.147860048228831,-2.2298555670711515,-2.3423292134458205,-2.7074722977468815,-2.647902977569461,-2.683957071924152,-2.5783308778683467,-2.464118896542722,-2.546819366287616,-2.554117245428029,-2.670128255447976,-2.5508430236381203,-2.4368341128285342,-2.469649411238816,-2.596543026126909,-2.65977856561724,-2.672036458800861,-2.5364078983530165,-2.543128553724306,-2.691678259611766,-2.609222034213483,-2.702915251926142,-2.647365702345517,-2.6857662698487323,-2.693244100787799,-2.8949218580745373,-2.529772617872248,-2.0867936379951697,-2.8906949890883,-3.046294520177899,-3.0384283789058895,-2.983930141566267,-2.6175403323315787,-2.4681002609289155,-2.980238773775803,-2.87287753222089,-2.7110105411316185,-2.6356589862753776,-2.7100235417999743,-2.635448223637019,-2.868323905221647,-3.124665943145671,-3.1216148886088813,-3.1504470627342203,-3.1088359189933343,-3.069670271249424,-2.908314033498684,-3.002489148291386,-2.8465559810806815,-3.065673782521642,-2.9068345765463057,-2.8186112255543043,-2.83899695903306,-2.9215417796619705,-3.1480722276895183,-3.1097375705324364,-3.1173793968804207,-3.1509628522377864,-3.125150223698792,-3.2262829493365777,-3.2384395437574858,-3.2073308930554547,-3.2951425819851177,-3.3468435840626416,-3.294236993014417,-3.3851247102029953,-3.3401316528935623,-3.3843137724535963
-1.6712009243160533,-1.8612818463981362,-1.9507987703013636,-1.9262802389808875,-1.7481429373792865,-1.785676629520516,-1.9263546342031304,-1.7583379331713966,-1.847489071671436,-1.7926410749461172,-1.694130963901605,-1.765381955322895,-1.7812111733513154,-1.6178560381317941,-1.630659218861653,-1.5187922858817702,-1.5438932544383206,-1.3093505052519498,-2.1266593725333727,-2.0666043812562007,-2.2345389565322,-2.327692448860963,-2.2566391304190248,-2.3261545930531127,-2.3016699956346653,-2.1668149145968627,-2.260435100761299,-2.3062805585299193,-2.169163753170399,-2.2715376952507103,-2.2452147928547888,-2.147062912471435,-2.020381283847821,-2.0948210894711616,-2.1108500221270035,-2.2082779672511146,-2.5777291472851616,-2.5224399985677843,-2.585800149568573,-2.4332883779176715,-2.3500507875963232,-2.4642159524125806,-2.373811562746253,-2.5331980083070587,-2.4581972689053027,-2.3683419948455575,-2.3637396752276056,-2.4710344536432833,-2.5305579101732376,-2.5653849151158234,-2.4606696439056726,-2.448162666445489,-2.507253154002205,-2.4866915576975663,-2.574484144409396,-2.5221932819519908,-2.524766276112431,-2.5933706264037397,-2.7269095697738566,-2.385849887160789,-2.0049029604054676,-2.74413399337689,-2.8916297821213344,-2.912660359391051,-2.905072372654023,-2.5434085078921744,-2.341126410106528,-2.789670198629055,-2.708621737899652,-2.603410186425562,-2.4672801261270636,-2.6221376312248985,-2.5242611466828486,-2.6862069443267247,-3.0337373361244375,-3.0279909362874236,-3.0457321160669126,-2.9758526034045767,-2.914153186534584,-2.7928765807642524,-2.8469717612850585,-2.6625024870799465,-2.88041458359868,-2.7500782633949137,-2.713195462257051,-2.7291212536193004,-2.7898449859269427,-2.915832178671991,-2.9631053243459604,-2.984549426160427,-2.994716081609621,-3.0064428223811084,-3.0748920058733047,-3.130163501474103,-3.0871464729569786,-3.1535725238678713,-3.1878809175343523,-3.151905232181067,-3.193425040339512,-3.2005517763518223,-3.3147707988474178
-1.6587585328775027,-1.8290368806062933,-1.896608891227711,-1.904758418617434,-1.689953708488752,-1.797888502510412,-1.8706278252988624,-1.7300510904618112,-1.8282256694735588,-1.766447403329772,-1.6584703188336831,-1.7469906448296382,-1.7257394388002638,-1.5660074637719903,-1.5946946636746229,-1.5018860891787098,-1.5412905701096526,-1.2866278178906811,-2.0899387761356647,-2.065595229958482,-2.2057893549523158,-2.2945585935832575,-2.2149499030993063,-2.2778694490326337,-2.247538721534252,-2.1543713016849395,-2.2275742878577853,-2.222012204740005,-2.1537598677037186,-2.2557519499165117,-2.2198545124044724,-2.095809671886366,-2.0080693075375535,-2.0556675176467643,-2.08289074105271,-2.2294690613376775,-2.5036105413389955,-2.4893403633425994,-2.503765246817131,-2.427528793719488,-2.33068086032223,-2.4305198488764668,-2.408564095912793,-2.4780166345811256,-2.4225048555691426,-2.2860110328538434,-2.2770741607812717,-2.431875141689945,-2.5561305983079023,-2.5162468337978967,-2.42541328205051,-2.3814003218028867,-2.5081157464073387,-2.468921543003324,-2.550422856414832,-2.487731723256548,-2.4842917609415225,-2.5594214675062568,-2.7389430070305907,-2.3476412010730523,-1.9820620616008797,-2.7270934968994744,-2.884962329206221,-2.9144074172259296,-2.808260364896934,-2.450193576731281,-2.3182484005180517,-2.786934478355687,-2.7083816688358926,-2.599970672157409,-2.4581328441454073,-2.5796416222820575,-2.453420966077899,-2.6333407949354886,-2.9408797031619685,-2.9356898384907044,-2.987291959263499,-2.928452688372382,-2.866275369059714,-2.7709248780802285,-2.8620885921597177,-2.694611347867405,-2.8368249114367483,-2.742630708179488,-2.6600213115675215,-2.762563626076872,-2.7270680501853586,-2.900827918943697,-2.9447839926158306,-2.936701559164447,-2.9777299191085667,-3.0054501502605446,-3.0335671551942287,-3.1552279283352833,-3.04233060836649,-3.046027299019886,-3.11445222096013,-3.109612907110386,-3.2254385141995083,-3.1380702100141464,-3.1980819585030673
-1.760610561554572,-1.827877875355505,-1.9813983972293825,-1.9884444801282688,-1.7499095550231882,-1.824872478294163,-1.9398033290542478,-1.8054136322989824,-1.8626204978507488,-1.8501118581432323,-1.706486075849346,-1.7808908820099751,-1.7906245762217072,-1.6025277361457149,-1.6774636327895875,-1.5310817626281872,-1.6112856660640291,-1.2845286906385087,-2.154271966058559,-2.0674081164180333,-2.3242189813509113,-2.3242183294905416,-2.297703081086676,-2.2898911228928207,-2.3199587639536956,-2.1770514127260543,-2.3027469999853345,-2.3378217242520605,-2.2043895111660663,-2.3135862448154914,-2.3272055704844563,-2.1626688741579048,-2.061041240375319,-2.084147082865965,-2.1570444618991864,-2.2593846359390977,-2.6382816977637016,-2.60129641416299,-2.575233282727218,-2.505209193562553,-2.381602215122649,-2.5095953439981646,-2.4332843231820553,-2.583461984412415,-2.474959459077274,-2.4182790145090767,-2.399548084913703,-2.5092473577806986,-2.599602275268695,-2.5723260513690867,-2.4661772342862642,-2.4696200201729486,-2.5758748728887446,-2.5573983302471355,-2.666607637351812,-2.509937628287231,-2.5500335105581358,-2.6489878206489563,-2.782942330000797,-2.403112506983488,-2.060758628892801,-2.788172231974617,-2.9630323115487083,-2.925318051598681,-2.9255726360690115,-2.591136662928972,-2.3763678413838885,-2.8309144483808146,-2.76289065720752,-2.663950137622299,-2.5199584606231387,-2.633452746472811,-2.5539799472116176,-2.71537211111892,-3.053390450084049,-2.996438636149834,-3.022103953844191,-2.998515318313677,-2.946196631155241,-2.8401528354645,-2.9262958700903683,-2.754727086414984,-2.9761349968709516,-2.784159751322948,-2.7581911807448956,-2.780861040928351,-2.825965146407107,-2.9771507578360463,-2.9946268159512277,-3.048215365680216,-3.024504607773676,-3.0584250445426764,-3.146047871094474,-3.1722175699038146,-3.1211190711738177,-3.217115394008737,-3.1883686799564646,-3.1966831681813015,-3.167660061121839,-3.2316772842375228,-3.3373550091058024
-1.6442302917706708,-1.7920297646020942,-1.9279908484933943,-1.8946526198233722,-1.699287179995965,-1.775112166101103,-1.8411995826882575,-1.7319084902171957,-1.827964176047993,-1.7653145041601923,-1.6507473023533052,-1.7364282015064212,-1.7287740812303698,-1.5485825878351334,-1.6221159623980443,-1.4553509111857148,-1.5121708970733672,-1.256850886073995,-2.106993307367105,-1.9637138004426602,-2.2267117894653525,-2.24231344615005,-2.2053713682304426,-2.273482468160554,-2.2599115490059223,-2.114860968688712,-2.1963295417208704,-2.2087530848194348,-2.173537316768882,-2.2709782202753948,-2.1891781884758945,-2.086021366900852,-1.942800817959141,-2.0327646401741064,-2.0778244598630637,-2.15216902283344,-2.5346001251067727,-2.512526330721449,-2.5192597751880297,-2.403853879894269,-2.2811834783247646,-2.4302151179520193,-2.359981621497479,-2.457821742154724,-2.410278419841337,-2.324676148761992,-2.318040768924782,-2.41630848394445,-2.560973360567488,-2.4978822231796967,-2.4151807649624946,-2.3811994670255094,-2.484732885882661,-2.475121813884584,-2.581058723168629,-2.449768264300527,-2.44456235134854,-2.5373103668209893,-2.7616393011515195,-2.345287762168622,-1.9655179097743987,-2.67837841230011,-2.84051638718221,-2.859025556188184,-2.8452904731357993,-2.449313849013898,-2.32460691724607,-2.7876843148684154,-2.6668546462008176,-2.542610327961145,-2.4353378165544135,-2.5490651849478265,-2.449663342020475,-2.618785551281544,-2.9283169449848296,-2.9508268288984176,-2.9404319839045034,-2.9748142324805387,-2.899794408522709,-2.7453544569563744,-2.82167531849052,-2.635450559359427,-2.8627476829930547,-2.681294825450552,-2.6578826068069556,-2.720240602986341,-2.7197379527628733,-2.895694912614468,-2.9166270575260222,-2.8937615484254424,-2.9589199567367954,-2.94940372348258,-3.0506182000960713,-3.102166764447496,-3.046311527658042,-3.063948969112154,-3.140878703761554,-3.132906225929625,-3.1730133354447254,-3.2099354782333855,-3.252839054185368
-1.6049065318714948,-1.760925614701949,-1.911747830860868,-1.8562741405436707,-1.6857111243721377,-1.736442161804067,-1.8017101941686169,-1.71561793359912,-1.7856199216528406,-1.6889850078544828,-1.6422274330069278,-1.6878358773061974,-1.700148430492785,-1.5447587869380794,-1.5813571194891933,-1.4425973256474183,-1.4944606106510705,-1.2263318268291137,-2.0657064651223713,-2.0072026360542097,-2.181193585876835,-2.2238857447221174,-2.190891892786817,-2.21094333634498,-2.2325223860331884,-2.0731829113765174,-2.196872130341179,-2.259702901333413,-2.1312648881390954,-2.2145529390739807,-2.1976496381422863,-2.090308798559379,-1.9731922637049262,-2.015479829413953,-2.044783920621125,-2.1780229438533847,-2.480076722837647,-2.4412889895350545,-2.455699803053252,-2.3828267436597304,-2.2755031692196708,-2.403901733780952,-2.3190196578744753,-2.4614279591271044,-2.3499104925886014,-2.344421491803151,-2.250585109050375,-2.423131318136799,-2.5132151625876666,-2.466316279711023,-2.3373888634495645,-2.364414567238305,-2.456130989131445,-2.4509616894385684,-2.545975102564708,-2.4444369117918097,-2.4769461123528895,-2.5153876721223574,-2.6863072857811137,-2.3307880697595347,-1.9394230591927681,-2.6995182426862416,-2.835051320665142,-2.866796794036997,-2.81488773549591,-2.45058721248841,-2.290644072740233,-2.720433110650939,-2.6304461507866153,-2.5388850897003516,-2.456186806006401,-2.562941249577458,-2.394525332175468,-2.637922450852085,-2.962916467585238,-2.9418307363250675,-2.90842688575374,-2.900729938146392,-2.836539134665732,-2.721585966756066,-2.8095662916606394,-2.642048339762733,-2.8735510139481883,-2.6947085418012513,-2.634895882237816,-2.696460323898675,-2.6912911025473534,-2.8434501036340865,-2.8526787869614822,-2.9212040301984765,-2.9626162286978226,-2.971009561625011,-3.0574337141970926,-3.0374951602002933,-3.0048771885237957,-3.085151197385442,-3.091875890790643,-3.0268907463413997,-3.1941200969989247,-3.1371843483234345,-3.239139814959648
-1.7147534199113694,-1.7752838289069188,-1.9053945126451812,-1.9329104161179886,-1.73206739230061,-1.7992998047065663,-1.8882078739352899,-1.7335417810671292,-1.7861178882720357,-1.7774913662484702,-1.676248177865445,-1.724470391530673,-1.7790413759943742,-1.5828965887853386,-1.5856884676667558,-1.4903839885611996,-1.5258880037820464,-1.2801498243095168,-2.0901633428629256,-2.04788373293526,-2.2374089591566557,-2.28975885339215,-2.2067781195773537,-2.2515816632734054,-2.2899299073988417,-2.1072102120111023,-2.249799280068641,-2.261680985131653,-2.1589260196550915,-2.29020746451982,-2.2213283666946055,-2.0951450535331113,-1.9698261252533806,-2.035294231767645,-2.0919694726323192,-2.203412677001789,-2.5587305460243477,-2.52639182812806,-2.492098872855209,-2.3746333590909683,-2.3216789051598266,-2.433942638185398,-2.380214794433884,-2.494916262422654,-2.391855951901911,-2.3619395133309222,-2.3157999200356616,-2.4395392877809763,-2.487509221192456,-2.525099511966074,-2.3976189252897,-2.400028787021809,-2.507591780411151,-2.440050103815317,-2.563480332205816,-2.442877799109506,-2.460710495937936,-2.59319274778016,-2.7677989752168464,-2.355653291320682,-1.988321488431004,-2.719638982055632,-2.887978377103788,-2.9239534209975657,-2.8312771077248033,-2.503333374267511,-2.2774247995245496,-2.809366363311226,-2.7042232350492097,-2.58436473540426,-2.4714771623420138,-2.538480999875272,-2.4498304296470867,-2.6623232202655043,-2.955887538346249,-2.9846036222010524,-3.0042718873857637,-2.9393005704686574,-2.8893866571809372,-2.7956009061959586,-2.8705527582549273,-2.70502407753808,-2.8350422286532773,-2.7177042038671764,-2.7061714631700124,-2.719735159220627,-2.7467067375426906,-2.898554048426391,-2.9166816916489773,-2.918347794761692,-3.068930703954203,-2.9946549408864653,-3.0543678166872836,-3.100458466849694,-3.107145885263458,-3.136583657385127,-3.1214861888348038,-3.1104513357663373,-3.181193052569839,-3.1932264801662344,-3.2414935512470353
-1.7513875021220795,-1.9018151450326894,-1.9833113832476508,-1.976209010572426,-1.7974003834224141,-1.8948747719590682,-1.9427537302088498,-1.8340624137385253,-1.8773611551810159,-1.8233644612201119,-1.7518034556554467,-1.8055306130862412,-1.822550403116338,-1.6200166733426469,-1.6936079144091478,-1.5839715016702605,-1.6096005946862848,-1.331617502916909,-2.187914791807522,-2.124799118392481,-2.338881600237401,-2.381601924444026,-2.3261949844990975,-2.3538922024808344,-2.3838144459492683,-2.2383100788921984,-2.3190097677750354,-2.3833545065189528,-2.2597147547188787,-2.342989166813182,-2.3040453646281263,-2.1811921107085412,-2.070893478427005,-2.1645340383179064,-2.1793378152500194,-2.3085245113713704,-2.6253869184726506,-2.537311484818008,-2.6188815140324424,-2.52207166906606,-2.4370132709161543,-2.5234812006479386,-2.501454631181857,-2.5931328719524993,-2.5102347773910116,-2.4368924086542765,-2.4013099654374637,-2.494524452279553,-2.6281611719690043,-2.6540669642593104,-2.4949424109321923,-2.4741655454574376,-2.610408210411912,-2.5571243307151184,-2.6612146483373023,-2.564289382156621,-2.636108030701341,-2.6501178142310566,-2.8555096009445924,-2.4892752485252556,-2.0777766668589273,-2.836535904313971,-2.9694044350346203,-3.0095450579147425,-2.9654118866560992,-2.5936989491588003,-2.432025840900564,-2.881680184516302,-2.8102951081453003,-2.6992754963852366,-2.5500945427452852,-2.6626495293625796,-2.5589813103013497,-2.7869328800773765,-3.062861648656565,-3.0165639333694716,-3.1058006779247633,-3.0957986999918656,-2.9272112202502,-2.864845561196646,-2.9164073457370243,-2.782480175857589,-2.967222693509695,-2.8291541648283767,-2.7450773553616186,-2.822623069113576,-2.8975611669398416,-3.0012357960601035,-3.057783017392189,-3.0321733330169236,-3.0847852613008424,-3.132319638190738,-3.202409633619277,-3.183115595030681,-3.179356534251506,-3.2078954045463206,-3.2871259265272688,-3.26910062153757,-3.2962886105839737,-3.318278869602468,-3.345682695583891
